File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/164.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	Auto 2
Injection Number	27
Position	3
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Unknown
Status	Finished
Injection Date	3/10/2023
Injection Time	4:00:30 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000530
Time Max. (min)	8.022197
Data Points	9627
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.471615
Signal Max.	65,140.120443
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.000530	n.a.	-3.405469
0.001364	0.05	-3.406901
0.002197	0.05	-3.409635
0.003030	0.05	-3.409375
0.003864	0.05	-3.409375
0.004697	0.05	-3.408854
0.005530	0.05	-3.412109
0.006364	0.05	-3.414714
0.007197	0.05	-3.417188
0.008030	0.05	-3.410156
0.008864	0.05	-3.408203
0.009697	0.05	-3.405208
0.010530	0.05	-3.401953
0.011364	0.05	-3.395833
0.012197	0.05	-3.408984
0.013030	0.05	-3.411849
0.013864	0.05	-3.405859
0.014697	0.05	-3.405599
0.015530	0.05	-3.424089
0.016364	0.05	-3.410026
0.017197	0.05	-3.408073
0.018030	0.05	-3.394401
0.018864	0.05	-3.419271
0.019697	0.05	-3.412760
0.020530	0.05	-3.401432
0.021364	0.05	-3.405729
0.022197	0.05	-3.400130
0.023030	0.05	-3.407161
0.023864	0.05	-3.408724
0.024697	0.05	-3.410026
0.025530	0.05	-3.413281
0.026364	0.05	-3.410547
0.027197	0.05	-3.402083
0.028030	0.05	-3.408333
0.028864	0.05	-3.405990
0.029697	0.05	-3.412500
0.030530	0.05	-3.410677
0.031364	0.05	-3.409896
0.032197	0.05	-3.413411
0.033030	0.05	-3.415234
0.033864	0.05	-3.415234
0.034697	0.05	-3.418490
0.035530	0.05	-3.411198
0.036364	0.05	-3.408724
0.037197	0.05	-3.405859
0.038030	0.05	-3.402214
0.038864	0.05	-3.406510
0.039697	0.05	-3.405729
0.040530	0.05	-3.408854
0.041364	0.05	-3.404167
0.042197	0.05	-3.399740
0.043030	0.05	-3.402604
0.043864	0.05	-3.408854
0.044697	0.05	-3.412891
0.045530	0.05	-3.415625
0.046364	0.05	-3.416276
0.047197	0.05	-3.420052
0.048030	0.05	-3.420573
0.048864	0.05	-3.416536
0.049697	0.05	-3.415104
0.050530	0.05	-3.413802
0.051364	0.05	-3.415885
0.052197	0.05	-3.414583
0.053030	0.05	-3.413672
0.053864	0.05	-3.412109
0.054697	0.05	-3.410286
0.055530	0.05	-3.406250
0.056364	0.05	-3.406771
0.057197	0.05	-3.402083
0.058030	0.05	-3.404036
0.058864	0.05	-3.406380
0.059697	0.05	-3.408724
0.060530	0.05	-3.410807
0.061364	0.05	-3.410026
0.062197	0.05	-3.411719
0.063030	0.05	-3.412500
0.063864	0.05	-3.411589
0.064697	0.05	-3.412240
0.065530	0.05	-3.410938
0.066364	0.05	-3.408594
0.067197	0.05	-3.410417
0.068030	0.05	-3.410547
0.068864	0.05	-3.414193
0.069697	0.05	-3.418229
0.070530	0.05	-3.418099
0.071364	0.05	-3.418880
0.072197	0.05	-3.418490
0.073030	0.05	-3.419271
0.073864	0.05	-3.418099
0.074697	0.05	-3.411198
0.075530	0.05	-3.408984
0.076364	0.05	-3.410286
0.077197	0.05	-3.413021
