File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/908.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	Form 3
Injection Number	31
Position	7
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Unknown
Status	Finished
Injection Date	3/10/2023
Injection Time	4:39:28 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000225
Time Max. (min)	8.022725
Data Points	9628
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.617708
Signal Max.	63,973.105859
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.000225	n.a.	-3.567708
0.001058	0.05	-3.569401
0.001892	0.05	-3.571094
0.002725	0.05	-3.576563
0.003558	0.05	-3.568359
0.004392	0.05	-3.565885
0.005225	0.05	-3.559635
0.006058	0.05	-3.562240
0.006892	0.05	-3.566536
0.007725	0.05	-3.566406
0.008558	0.05	-3.568620
0.009392	0.05	-3.571094
0.010225	0.05	-3.568620
0.011058	0.05	-3.554297
0.011892	0.05	-3.562240
0.012725	0.05	-3.575781
0.013558	0.05	-3.579167
0.014392	0.05	-3.564974
0.015225	0.05	-3.582682
0.016058	0.05	-3.577214
0.016892	0.05	-3.576563
0.017725	0.05	-3.557943
0.018558	0.05	-3.567318
0.019392	0.05	-3.578906
0.020225	0.05	-3.566667
0.021058	0.05	-3.573828
0.021892	0.05	-3.571875
0.022725	0.05	-3.569531
0.023558	0.05	-3.572786
0.024392	0.05	-3.571354
0.025225	0.05	-3.571745
0.026058	0.05	-3.573177
0.026892	0.05	-3.566016
0.027725	0.05	-3.568750
0.028558	0.05	-3.567057
0.029392	0.05	-3.566146
0.030225	0.05	-3.570703
0.031058	0.05	-3.569401
0.031892	0.05	-3.566927
0.032725	0.05	-3.566667
0.033558	0.05	-3.558854
0.034392	0.05	-3.561068
0.035225	0.05	-3.558333
0.036058	0.05	-3.558073
0.036892	0.05	-3.560807
0.037725	0.05	-3.558203
0.038558	0.05	-3.560026
0.039392	0.05	-3.558984
0.040225	0.05	-3.555339
0.041058	0.05	-3.557422
0.041892	0.05	-3.556250
0.042725	0.05	-3.555078
0.043558	0.05	-3.558854
0.044392	0.05	-3.558594
0.045225	0.05	-3.563411
0.046058	0.05	-3.560807
0.046892	0.05	-3.558073
0.047725	0.05	-3.560547
0.048558	0.05	-3.557292
0.049392	0.05	-3.558854
0.050225	0.05	-3.559766
0.051058	0.05	-3.558984
0.051892	0.05	-3.560417
0.052725	0.05	-3.558724
0.053558	0.05	-3.560677
0.054392	0.05	-3.563281
0.055225	0.05	-3.561458
0.056058	0.05	-3.562109
0.056892	0.05	-3.560547
0.057725	0.05	-3.556250
0.058558	0.05	-3.553385
0.059392	0.05	-3.552604
0.060225	0.05	-3.554948
0.061058	0.05	-3.557161
0.061892	0.05	-3.553906
0.062725	0.05	-3.557031
0.063558	0.05	-3.556901
0.064392	0.05	-3.558594
0.065225	0.05	-3.561198
0.066058	0.05	-3.560417
0.066892	0.05	-3.562891
0.067725	0.05	-3.559505
0.068558	0.05	-3.556510
0.069392	0.05	-3.554557
0.070225	0.05	-3.555339
0.071058	0.05	-3.559766
0.071892	0.05	-3.562109
0.072725	0.05	-3.561719
0.073558	0.05	-3.558203
0.074392	0.05	-3.564193
0.075225	0.05	-3.556380
0.076058	0.05	-3.560417
0.076892	0.05	-3.559115
0.077725	0.05	-3.567318
0.078558	0.05	-3.569401
0.079392	0.05	-3.572266
0.080225	0.05	-3.567318
0.081058	0.05	-3.572656
0.081892	0.05	-3.558854
0.082725	0.05	-3.569531
0.083558	0.05	-3.566146
0.084392	0.05	-3.576563
0.085225	0.05	-3.578906
0.086058	0.05	-3.576953
0.086892	0.05	-3.572266
0.087725	0.05	-3.570703
0.088558	0.05	-3.570313
0.089392	0.05	-3.575521
0.090225	0.05	-3.575130
0.091058	0.05	-3.570443
0.091892	0.05	-3.572656
0.092725	0.05	-3.567578
0.093558	0.05	-3.573438
0.094392	0.05	-3.570703
0.095225	0.05	-3.573828
0.096058	0.05	-3.579688
0.096892	0.05	-3.581250
0.097725	0.05	-3.585026
0.098558	0.05	-3.587630
0.099392	0.05	-3.584505
0.100225	0.05	-3.583594
0.101058	0.05	-3.575391
0.101892	0.05	-3.574479
0.102725	0.05	-3.575130
0.103558	0.05	-3.581120
0.104392	0.05	-3.586849
0.105225	0.05	-3.586849
0.106058	0.05	-3.582813
0.106892	0.05	-3.585417
0.107725	0.05	-3.585677
0.108558	0.05	-3.586328
0.109392	0.05	-3.585938
0.110225	0.05	-3.582552
0.111058	0.05	-3.581120
0.111892	0.05	-3.573438
0.112725	0.05	-3.572266
0.113558	0.05	-3.576823
0.114392	0.05	-3.581120
0.115225	0.05	-3.583073
0.116058	0.05	-3.579818
0.116892	0.05	-3.574870
0.117725	0.05	-3.575521
0.118558	0.05	-3.572396
0.119392	0.05	-3.569922
0.120225	0.05	-3.565365
0.121058	0.05	-3.557682
0.121892	0.05	-3.558333
0.122725	0.05	-3.558073
0.123558	0.05	-3.565234
0.124392	0.05	-3.566276
0.125225	0.05	-3.568229
0.126058	0.05	-3.565625
0.126892	0.05	-3.567578
0.127725	0.05	-3.565885
0.128558	0.05	-3.569401
0.129392	0.05	-3.567057
0.130225	0.05	-3.566927
0.131058	0.05	-3.569661
0.131892	0.05	-3.566927
0.132725	0.05	-3.568750
0.133558	0.05	-3.567188
0.134392	0.05	-3.567578
0.135225	0.05	-3.566667
0.136058	0.05	-3.562630
0.136892	0.05	-3.564453
0.137725	0.05	-3.565885
0.138558	0.05	-3.566667
0.139392	0.05	-3.570703
0.140225	0.05	-3.571094
0.141058	0.05	-3.570182
0.141892	0.05	-3.569401
0.142725	0.05	-3.567969
0.143558	0.05	-3.570833
0.144392	0.05	-3.568229
0.145225	0.05	-3.564193
0.146058	0.05	-3.566016
0.146892	0.05	-3.567188
0.147725	0.05	-3.570573
0.148558	0.05	-3.567839
0.149392	0.05	-3.565625
0.150225	0.05	-3.563672
0.151058	0.05	-3.562240
0.151892	0.05	-3.565495
0.152725	0.05	-3.572396
0.153558	0.05	-3.576042
0.154392	0.05	-3.574219
0.155225	0.05	-3.571615
0.156058	0.05	-3.568490
0.156892	0.05	-3.567708
0.157725	0.05	-3.566667
0.158558	0.05	-3.568099
0.159392	0.05	-3.572917
0.160225	0.05	-3.571094
0.161058	0.05	-3.569922
0.161892	0.05	-3.564453
0.162725	0.05	-3.562109
0.163558	0.05	-3.560938
0.164392	0.05	-3.563281
0.165225	0.05	-3.564583
0.166058	0.05	-3.566016
0.166892	0.05	-3.562630
0.167725	0.05	-3.559635
0.168558	0.05	-3.559766
0.169392	0.05	-3.561719
0.170225	0.05	-3.567969
0.171058	0.05	-3.572005
0.171892	0.05	-3.574870
0.172725	0.05	-3.573958
0.173558	0.05	-3.570964
0.174392	0.05	-3.568620
0.175225	0.05	-3.569661
0.176058	0.05	-3.568750
0.176892	0.05	-3.571094
0.177725	0.05	-3.571224
0.178558	0.05	-3.569792
0.179392	0.05	-3.572656
0.180225	0.05	-3.573958
0.181058	0.05	-3.579167
0.181892	0.05	-3.577734
0.182725	0.05	-3.575000
0.183558	0.05	-3.573307
0.184392	0.05	-3.572917
0.185225	0.05	-3.572917
0.186058	0.05	-3.572135
0.186892	0.05	-3.569531
0.187725	0.05	-3.570833
0.188558	0.05	-3.567708
0.189392	0.05	-3.565885
0.190225	0.05	-3.566927
0.191058	0.05	-3.568229
0.191892	0.05	-3.569661
0.192725	0.05	-3.565755
0.193558	0.05	-3.563151
0.194392	0.05	-3.562109
0.195225	0.05	-3.559375
0.196058	0.05	-3.562370
0.196892	0.05	-3.561719
0.197725	0.05	-3.563411
0.198558	0.05	-3.565495
0.199392	0.05	-3.568099
0.200225	0.05	-3.570313
0.201058	0.05	-3.567578
0.201892	0.05	-3.568099
0.202725	0.05	-3.572396
0.203558	0.05	-3.575521
0.204392	0.05	-3.576563
0.205225	0.05	-3.570443
0.206058	0.05	-3.567578
0.206892	0.05	-3.566016
0.207725	0.05	-3.566016
