File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/677.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	PHB 10ug/mL
Injection Number	34
Position	2
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Calibration Standard
Status	Finished
Injection Date	3/10/2023
Injection Time	5:08:57 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000114
Time Max. (min)	8.022614
Data Points	9628
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.505339
Signal Max.	64,955.890234
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.000114	n.a.	-3.417708
0.000947	0.05	-3.415104
0.001780	0.05	-3.418620
0.002614	0.05	-3.418880
0.003447	0.05	-3.417969
0.004280	0.05	-3.422656
0.005114	0.05	-3.423307
0.005947	0.05	-3.424740
0.006780	0.05	-3.419401
0.007614	0.05	-3.413021
0.008447	0.05	-3.411068
0.009280	0.05	-3.408724
0.010114	0.05	-3.407031
0.010947	0.05	-3.395573
0.011780	0.05	-3.408594
0.012614	0.05	-3.428385
0.013447	0.05	-3.436719
0.014280	0.05	-3.420703
0.015114	0.05	-3.434375
0.015947	0.05	-3.426172
0.016780	0.05	-3.425000
0.017614	0.05	-3.404427
0.018447	0.05	-3.409245
0.019280	0.05	-3.426302
0.020114	0.05	-3.416667
0.020947	0.05	-3.424219
0.021780	0.05	-3.420052
0.022614	0.05	-3.417839
0.023447	0.05	-3.421615
0.024280	0.05	-3.421354
0.025114	0.05	-3.420964
0.025947	0.05	-3.422266
0.026780	0.05	-3.416276
0.027614	0.05	-3.416016
0.028447	0.05	-3.417318
0.029280	0.05	-3.417708
0.030114	0.05	-3.425260
0.030947	0.05	-3.422917
0.031780	0.05	-3.421615
0.032614	0.05	-3.426172
0.033447	0.05	-3.424089
0.034280	0.05	-3.420964
0.035114	0.05	-3.414714
0.035947	0.05	-3.409766
0.036780	0.05	-3.416667
0.037614	0.05	-3.416667
0.038447	0.05	-3.420052
0.039280	0.05	-3.420833
0.040114	0.05	-3.419271
0.040947	0.05	-3.421875
0.041780	0.05	-3.423177
0.042614	0.05	-3.422656
0.043447	0.05	-3.422786
0.044280	0.05	-3.416146
0.045114	0.05	-3.415234
0.045947	0.05	-3.414453
0.046780	0.05	-3.415625
0.047614	0.05	-3.421615
0.048447	0.05	-3.423698
0.049280	0.05	-3.423438
0.050114	0.05	-3.421615
0.050947	0.05	-3.416276
0.051780	0.05	-3.416667
0.052614	0.05	-3.416406
0.053447	0.05	-3.414063
0.054280	0.05	-3.420052
0.055114	0.05	-3.416797
0.055947	0.05	-3.425260
0.056780	0.05	-3.420703
0.057614	0.05	-3.421745
0.058447	0.05	-3.422526
0.059280	0.05	-3.426563
0.060114	0.05	-3.430339
0.060947	0.05	-3.431510
0.061780	0.05	-3.428906
0.062614	0.05	-3.423828
0.063447	0.05	-3.423307
0.064280	0.05	-3.419401
0.065114	0.05	-3.425391
0.065947	0.05	-3.424870
0.066780	0.05	-3.429167
0.067614	0.05	-3.430339
0.068447	0.05	-3.425521
0.069280	0.05	-3.426172
0.070114	0.05	-3.424740
0.070947	0.05	-3.426953
0.071780	0.05	-3.426693
0.072614	0.05	-3.426042
0.073447	0.05	-3.427734
0.074280	0.05	-3.432292
0.075114	0.05	-3.432161
0.075947	0.05	-3.434896
0.076780	0.05	-3.431901
0.077614	0.05	-3.431641
0.078447	0.05	-3.431510
0.079280	0.05	-3.428776
0.080114	0.05	-3.428776
0.080947	0.05	-3.432682
0.081780	0.05	-3.433073
0.082614	0.05	-3.435938
0.083447	0.05	-3.432943
0.084280	0.05	-3.435156
0.085114	0.05	-3.435026
0.085947	0.05	-3.430469
0.086780	0.05	-3.429818
0.087614	0.05	-3.431641
0.088447	0.05	-3.432161
0.089280	0.05	-3.434375
0.090114	0.05	-3.432422
0.090947	0.05	-3.433333
0.091780	0.05	-3.435286
0.092614	0.05	-3.433073
0.093447	0.05	-3.435026
0.094280	0.05	-3.433854
0.095114	0.05	-3.433984
0.095947	0.05	-3.436979
0.096780	0.05	-3.436979
0.097614	0.05	-3.439974
0.098447	0.05	-3.436328
0.099280	0.05	-3.433333
0.100114	0.05	-3.434375
0.100947	0.05	-3.432813
0.101780	0.05	-3.432031
0.102614	0.05	-3.431380
0.103447	0.05	-3.433594
0.104280	0.05	-3.438411
0.105114	0.05	-3.438281
0.105947	0.05	-3.439323
0.106780	0.05	-3.437109
0.107614	0.05	-3.438932
0.108447	0.05	-3.442318
0.109280	0.05	-3.443750
0.110114	0.05	-3.441276
0.110947	0.05	-3.436458
0.111780	0.05	-3.436979
0.112614	0.05	-3.437370
0.113447	0.05	-3.438151
0.114280	0.05	-3.435286
0.115114	0.05	-3.433333
0.115947	0.05	-3.433724
0.116780	0.05	-3.433854
0.117614	0.05	-3.436589
0.118447	0.05	-3.436589
0.119280	0.05	-3.436589
0.120114	0.05	-3.435677
0.120947	0.05	-3.433333
0.121780	0.05	-3.431641
0.122614	0.05	-3.428125
0.123447	0.05	-3.424219
0.124280	0.05	-3.426302
0.125114	0.05	-3.429557
0.125947	0.05	-3.432292
0.126780	0.05	-3.431250
0.127614	0.05	-3.430469
0.128447	0.05	-3.432161
0.129280	0.05	-3.432161
0.130114	0.05	-3.428906
0.130947	0.05	-3.431120
0.131780	0.05	-3.427865
0.132614	0.05	-3.432161
0.133447	0.05	-3.433333
0.134280	0.05	-3.434505
0.135114	0.05	-3.433203
0.135947	0.05	-3.426563
0.136780	0.05	-3.428516
0.137614	0.05	-3.432031
0.138447	0.05	-3.438021
0.139280	0.05	-3.438542
0.140114	0.05	-3.439193
0.140947	0.05	-3.434505
0.141780	0.05	-3.433333
0.142614	0.05	-3.427474
0.143447	0.05	-3.428906
0.144280	0.05	-3.430208
0.145114	0.05	-3.435938
0.145947	0.05	-3.435547
0.146780	0.05	-3.441016
0.147614	0.05	-3.432031
0.148447	0.05	-3.439974
0.149280	0.05	-3.437370
0.150114	0.05	-3.441276
0.150947	0.05	-3.432292
0.151780	0.05	-3.428125
0.152614	0.05	-3.428125
0.153447	0.05	-3.428516
0.154280	0.05	-3.424740
0.155114	0.05	-3.423568
0.155947	0.05	-3.423307
0.156780	0.05	-3.430208
0.157614	0.05	-3.433594
0.158447	0.05	-3.435417
0.159280	0.05	-3.429818
0.160114	0.05	-3.426953
0.160947	0.05	-3.428646
0.161780	0.05	-3.431771
0.162614	0.05	-3.435677
0.163447	0.05	-3.433984
0.164280	0.05	-3.436328
0.165114	0.05	-3.432161
0.165947	0.05	-3.430339
0.166780	0.05	-3.429036
0.167614	0.05	-3.428385
0.168447	0.05	-3.429818
0.169280	0.05	-3.430078
0.170114	0.05	-3.432422
0.170947	0.05	-3.433073
0.171780	0.05	-3.431510
0.172614	0.05	-3.430078
0.173447	0.05	-3.432031
0.174280	0.05	-3.432552
0.175114	0.05	-3.434896
0.175947	0.05	-3.430078
0.176780	0.05	-3.429557
0.177614	0.05	-3.431901
0.178447	0.05	-3.435938
0.179280	0.05	-3.438411
0.180114	0.05	-3.435156
0.180947	0.05	-3.433984
0.181780	0.05	-3.436328
0.182614	0.05	-3.435156
0.183447	0.05	-3.432292
0.184280	0.05	-3.425521
0.185114	0.05	-3.423828
